UserID,ItemID,Rating
3,3,4.5
3,4,3.5
3,9,3.5
3,11,3.5
3,12,2.5
3,15,3.5
3,19,2.5
3,20,4.5
3,21,3.5
3,23,4.5
3,30,4.5
3,31,2.5
3,34,3.5
3,38,4.5
3,40,3.5
3,42,3.5
3,43,3.5
3,45,3.5
3,47,4.5
3,48,3.5
3,49,4.5
3,52,4.5
3,53,4.5
3,55,4.5
3,61,4.5
3,63,3.5
3,65,3.5
3,66,3.5
3,67,4.5
3,73,4.5
3,77,3.5
3,79,2.5
3,83,3.5
3,84,4.5
3,85,2.5
3,87,3.5
3,89,4.5
3,91,4.5
3,93,3.5
3,97,2.5
3,98,2.5
3,99,2.5
3,104,4.5
3,105,4.5
3,107,4.5
3,111,4.5
3,112,4.5
3,117,3.5
3,121,4.5
3,126,3.5
3,129,1.5
3,130,3.5
3,136,0.5
3,141,1.5
3,143,3.5
3,147,2.5
3,148,3.5
3,149,4.5
3,151,2.5
3,152,4.5
3,153,4.5
3,157,4.5
3,158,2.5
3,159,3.5
3,160,4.5
3,161,2.5
3,162,4.5
3,163,4.5
3,164,4.5
3,168,3.5
3,169,4.5
3,171,3.5
3,182,4.5
3,187,1.5
3,189,4.5
3,195,1.5
3,196,4.5
3,197,4.5
3,201,2.5
3,206,3.5
3,213,3.5
3,214,4.5
3,217,4.5
3,221,4.5
3,226,2.5
3,230,3.5
3,235,3.5
3,241,3.5
3,246,4.5
3,252,2.5
3,253,3.5
3,257,2.5
3,260,2.5
3,266,3.5
3,267,3.5
3,273,3.5
3,275,2.5
3,278,2.5
3,279,3.5
3,289,4.5
3,290,4.5
3,295,3.5
3,297,1.5
3,301,4.5
3,307,4.5
3,312,2.5
3,325,3.5
3,334,4.5
3,341,3.5
3,347,0.5
3,351,3.5
3,358,3.5
3,362,3.5
3,369,4.5
3,378,4.5
3,383,2.5
3,386,4.5
3,387,4.5
3,396,4.5
3,398,2.5
3,399,3.5
3,401,4.5
3,402,3.5
3,414,2.5
3,433,4.5
3,437,4.5
3,449,3.5
3,453,1.5
3,580,1.5
5,4,1.5
5,7,4.5
5,11,3.5
5,22,4.5
5,24,2.5
5,31,2.5
5,34,4.5
5,38,4.5
5,43,3.5
5,44,4.5
5,45,2.5
5,47,4.5
5,48,2.5
5,49,2.5
5,52,4.5
5,53,4.5
5,58,3.5
5,60,4.5
5,61,4.5
5,63,3.5
5,70,3.5
5,74,4.5
5,79,3.5
5,84,2.5
5,86,4.5
5,89,3.5
5,91,4.5
5,93,2.5
5,95,4.5
5,101,2.5
5,102,2.5
5,104,4.5
5,105,3.5
5,106,2.5
5,108,3.5
5,111,3.5
5,113,4.5
5,125,3.5
5,129,2.5
5,132,1.5
5,134,3.5
5,138,3.5
5,140,1.5
5,141,1.5
5,142,4.5
5,151,3.5
5,161,0.5
5,162,2.5
5,163,3.5
5,165,2.5
5,182,3.5
5,186,4.5
5,187,3.5
5,192,4.5
5,196,3.5
5,204,4.5
5,206,3.5
5,213,3.5
5,219,3.5
5,226,1.5
5,229,3.5
5,235,2.5
5,238,4.5
5,239,4.5
5,243,4.5
5,249,2.5
5,257,1.5
5,260,1.5
5,261,3.5
5,272,3.5
5,278,2.5
5,297,3.5
5,301,2.5
5,304,4.5
5,313,1.5
5,316,4.5
5,317,4.5
5,328,4.5
5,341,3.5
5,348,3.5
5,354,4.5
5,362,2.5
5,364,1.5
5,376,4.5
5,378,4.5
5,386,0.5
5,387,4.5
5,389,2.5
5,408,2.5
5,430,2.5
5,437,4.5
5,442,4.5
5,452,3.5
5,470,3.5
5,501,4.5
5,568,4.5
8,7,3.5
8,8,4.5
8,21,2.5
8,22,4.5
8,23,3.5
8,25,2.5
8,33,2.5
8,37,4.5
8,38,2.5
8,48,4.5
8,52,4.5
8,53,4.5
8,60,4.5
8,61,2.5
8,62,4.5
8,68,4.5
8,70,2.5
8,73,4.5
8,77,2.5
8,79,4.5
8,83,3.5
8,91,3.5
8,93,4.5
8,96,4.5
8,99,3.5
8,103,4.5
8,120,4.5
8,132,3.5
8,134,4.5
8,141,4.5
8,145,4.5
8,152,3.5
8,160,2.5
8,161,3.5
8,163,4.5
8,164,4.5
8,170,4.5
8,189,4.5
8,192,3.5
8,196,4.5
8,197,4.5
8,198,4.5
8,204,4.5
8,214,3.5
8,228,4.5
8,229,2.5
8,249,3.5
8,260,3.5
8,272,4.5
8,278,0.5
8,289,2.5
8,297,1.5
8,304,3.5
8,313,3.5
8,314,4.5
8,316,4.5
8,317,4.5
8,321,2.5
8,334,3.5
8,354,4.5
8,365,4.5
8,394,4.5
8,401,0.5
8,437,1.5
8,544,3.5
10,3,4.5
10,4,1.5
10,6,4.5
10,7,4.5
10,9,3.5
10,10,4.5
10,11,4.5
10,12,1.5
10,15,3.5
10,21,2.5
10,22,4.5
10,23,4.5
10,24,2.5
10,30,3.5
10,31,3.5
10,34,3.5
10,36,3.5
10,38,4.5
10,42,3.5
10,43,3.5
10,45,2.5
10,47,4.5
10,48,4.5
10,49,4.5
10,52,4.5
10,55,1.5
10,56,3.5
10,58,1.5
10,60,4.5
10,61,4.5
10,63,4.5
10,65,4.5
10,66,4.5
10,67,4.5
10,70,3.5
10,73,4.5
10,75,3.5
10,77,2.5
10,79,2.5
10,81,4.5
10,83,4.5
10,87,3.5
10,89,4.5
10,91,3.5
10,96,4.5
10,97,3.5
10,98,3.5
10,99,4.5
10,102,2.5
10,103,3.5
10,104,4.5
10,105,2.5
10,106,3.5
10,111,3.5
10,113,4.5
10,121,4.5
10,124,2.5
10,129,2.5
10,132,4.5
10,134,3.5
10,136,4.5
10,137,4.5
10,138,4.5
10,139,3.5
10,140,2.5
10,147,2.5
10,149,2.5
10,151,2.5
10,152,4.5
10,153,2.5
10,160,4.5
10,162,4.5
10,163,4.5
10,165,1.5
10,170,4.5
10,171,1.5
